protein_id,degree,organism
YP_5995544.1,36,Homo sapiens
WP_5797469.1,25,Homo sapiens
YP_7008531.1,39,Homo sapiens
AP_5922184.1,14,Homo sapiens
WP_2648421.1,40,Homo sapiens
WP_2054109.1,15,Homo sapiens
AP_4522880.1,10,Homo sapiens
WP_7305547.1,21,Homo sapiens
RP_1484250.1,48,Homo sapiens
XP_161087.1,21,Homo sapiens
YP_6509907.1,7,Homo sapiens
YP_139353.1,33,Homo sapiens
ZP_3460011.1,10,Homo sapiens
XP_4359622.1,25,Homo sapiens
NP_5825570.1,9,Homo sapiens
YP_7172695.1,22,Homo sapiens
YP_5065050.1,36,Homo sapiens
YP_325281.1,11,Homo sapiens
NP_3882875.1,30,Homo sapiens
XP_7834102.1,36,Homo sapiens
AP_5774719.1,39,Homo sapiens
YP_6709280.1,13,Homo sapiens
WP_4472093.1,31,Homo sapiens
NP_5131595.1,15,Homo sapiens
NP_5578047.1,34,Homo sapiens
XP_1219043.1,8,Homo sapiens
RP_7203230.1,31,Homo sapiens
XP_2658231.1,1,Homo sapiens
AP_3180389.1,21,Homo sapiens
XP_2756138.1,29,Homo sapiens
RP_2015631.1,5,Homo sapiens
YP_9892712.1,23,Homo sapiens
ZP_1759066.1,10,Homo sapiens
XP_2248815.1,12,Homo sapiens
AP_4606259.1,39,Homo sapiens
ZP_7758426.1,13,Homo sapiens
ZP_4235314.1,27,Homo sapiens
NP_1707618.1,17,Homo sapiens
RP_4436787.1,14,Homo sapiens
RP_171295.1,13,Homo sapiens
RP_7713287.1,27,Homo sapiens
YP_5351035.1,6,Homo sapiens
YP_925816.1,40,Homo sapiens
NP_2126793.1,17,Homo sapiens
WP_8636326.1,13,Homo sapiens
ZP_3604473.1,6,Homo sapiens
YP_4441747.1,12,Homo sapiens
ZP_786976.1,19,Homo sapiens
XP_8606404.1,8,Homo sapiens
WP_5284502.1,19,Homo sapiens
YP_6661000.1,10,Homo sapiens
WP_4992306.1,26,Homo sapiens
WP_3774515.1,27,Homo sapiens
XP_4615488.1,12,Homo sapiens
ZP_9156842.1,22,Homo sapiens
YP_6424167.1,62,Homo sapiens
ZP_601157.1,49,Homo sapiens
ZP_6046594.1,6,Homo sapiens
XP_4427576.1,29,Homo sapiens
AP_2899487.1,6,Homo sapiens
XP_8083441.1,31,Homo sapiens
NP_2200021.1,2,Homo sapiens
WP_9849436.1,18,Homo sapiens
YP_718467.1,19,Homo sapiens
YP_7428141.1,44,Homo sapiens
AP_1807923.1,16,Homo sapiens
RP_9505634.1,13,Homo sapiens
YP_8270528.1,20,Homo sapiens
ZP_4401754.1,50,Homo sapiens
WP_2083509.1,10,Homo sapiens
XP_216381.1,31,Homo sapiens
XP_6205525.1,39,Homo sapiens
WP_3538618.1,22,Homo sapiens
NP_2557184.1,22,Homo sapiens
ZP_4203022.1,15,Homo sapiens
YP_7365795.1,24,Homo sapiens
WP_4141776.1,11,Homo sapiens
YP_5230397.1,25,Homo sapiens
AP_9620173.1,36,Homo sapiens
AP_3027109.1,13,Homo sapiens
WP_7079451.1,17,Homo sapiens
YP_8619981.1,20,Homo sapiens
AP_8603902.1,15,Homo sapiens
WP_6314624.1,28,Homo sapiens
ZP_6457182.1,9,Homo sapiens
AP_9914996.1,30,Homo sapiens
RP_2315167.1,11,Homo sapiens
WP_6645535.1,34,Homo sapiens
NP_9178552.1,12,Homo sapiens
NP_2089173.1,20,Homo sapiens
NP_1514466.1,39,Homo sapiens
XP_8206609.1,14,Homo sapiens
RP_7713269.1,13,Homo sapiens
RP_1205534.1,2,Homo sapiens
WP_9713273.1,27,Homo sapiens
YP_4453127.1,4,Homo sapiens
YP_8173461.1,20,Homo sapiens
RP_2776188.1,20,Homo sapiens
NP_3395990.1,5,Homo sapiens
NP_6626818.1,44,Homo sapiens
NP_9285687.1,31,Homo sapiens
AP_5591590.1,9,Homo sapiens
YP_6199628.1,28,Homo sapiens
ZP_6655968.1,4,Homo sapiens
XP_8937590.1,5,Homo sapiens
RP_2603771.1,7,Homo sapiens
NP_1096161.1,16,Homo sapiens
RP_749150.1,14,Homo sapiens
XP_218834.1,19,Homo sapiens
YP_5993309.1,17,Homo sapiens
AP_4349913.1,40,Homo sapiens
NP_1179600.1,27,Homo sapiens
ZP_9927141.1,37,Homo sapiens
RP_3603157.1,37,Homo sapiens
WP_8949851.1,7,Homo sapiens
AP_2085588.1,14,Homo sapiens
ZP_4297355.1,6,Homo sapiens
ZP_7816868.1,33,Homo sapiens
RP_9460133.1,35,Homo sapiens
AP_549395.1,28,Homo sapiens
XP_6854350.1,26,Homo sapiens
WP_3154390.1,17,Homo sapiens
ZP_3479569.1,3,Homo sapiens
ZP_8711474.1,19,Homo sapiens
YP_1746711.1,53,Homo sapiens
RP_6419707.1,5,Homo sapiens
NP_1523286.1,17,Homo sapiens
NP_8317316.1,24,Homo sapiens
NP_7448340.1,18,Homo sapiens
XP_283062.1,23,Homo sapiens
RP_2941992.1,4,Homo sapiens
ZP_6195929.1,6,Homo sapiens
NP_903328.1,18,Homo sapiens
RP_1143233.1,16,Homo sapiens
XP_629525.1,18,Homo sapiens
YP_276615.1,13,Homo sapiens
AP_6765088.1,7,Homo sapiens
AP_3799391.1,4,Homo sapiens
RP_9029860.1,11,Homo sapiens
XP_7106454.1,15,Homo sapiens
WP_7131883.1,14,Homo sapiens
NP_2264367.1,10,Homo sapiens
WP_244356.1,23,Homo sapiens
XP_8844220.1,13,Homo sapiens
XP_8498043.1,31,Homo sapiens
AP_1848014.1,17,Homo sapiens
YP_2388627.1,10,Homo sapiens
AP_6617963.1,15,Homo sapiens
NP_7168121.1,38,Homo sapiens
AP_3602630.1,31,Homo sapiens
ZP_5798848.1,19,Homo sapiens
XP_1207677.1,8,Homo sapiens
AP_388790.1,34,Homo sapiens
NP_9897444.1,3,Homo sapiens
ZP_3793305.1,19,Homo sapiens
WP_4566271.1,18,Homo sapiens
YP_1452695.1,23,Homo sapiens
AP_1689228.1,26,Homo sapiens
ZP_1200567.1,10,Homo sapiens
RP_149115.1,27,Homo sapiens
WP_821747.1,14,Homo sapiens
ZP_6332753.1,25,Homo sapiens
WP_5346880.1,28,Homo sapiens
AP_1504330.1,27,Homo sapiens
AP_4135851.1,11,Homo sapiens
WP_591072.1,31,Homo sapiens
YP_2155723.1,19,Homo sapiens
AP_9802701.1,9,Homo sapiens
NP_3076242.1,18,Homo sapiens
NP_2748790.1,30,Homo sapiens
YP_4933177.1,23,Homo sapiens
NP_3453597.1,26,Homo sapiens
NP_2697480.1,31,Homo sapiens
RP_4297571.1,14,Homo sapiens
NP_6218900.1,29,Homo sapiens
NP_257164.1,25,Homo sapiens
WP_631831.1,11,Homo sapiens
ZP_3469720.1,16,Homo sapiens
ZP_7222313.1,24,Homo sapiens
AP_2740328.1,32,Homo sapiens
WP_9651536.1,8,Homo sapiens
WP_4070001.1,7,Homo sapiens
YP_4222263.1,21,Homo sapiens
RP_4694877.1,8,Homo sapiens
AP_1455531.1,23,Homo sapiens
YP_775510.1,10,Homo sapiens
AP_7090102.1,6,Homo sapiens
YP_6806024.1,19,Homo sapiens
XP_998320.1,16,Homo sapiens
YP_5881565.1,7,Homo sapiens
ZP_9715215.1,23,Homo sapiens
YP_3364908.1,37,Homo sapiens
WP_6586460.1,5,Homo sapiens
YP_6297323.1,21,Homo sapiens
YP_3721581.1,21,Homo sapiens
RP_6063135.1,4,Homo sapiens
ZP_3699865.1,7,Homo sapiens
RP_5482287.1,18,Homo sapiens
AP_8090340.1,13,Homo sapiens
WP_3872811.1,28,Homo sapiens
YP_2863642.1,9,Homo sapiens
AP_3888340.1,30,Homo sapiens
RP_297775.1,4,Homo sapiens
YP_887494.1,19,Homo sapiens
AP_5432660.1,2,Homo sapiens
NP_6937433.1,10,Homo sapiens
RP_5183769.1,13,Homo sapiens
AP_4332406.1,22,Homo sapiens
AP_2376360.1,16,Homo sapiens
NP_4508249.1,3,Homo sapiens
ZP_9014438.1,11,Homo sapiens
XP_7617836.1,22,Homo sapiens
NP_9206824.1,8,Homo sapiens
NP_5562810.1,11,Homo sapiens
NP_9005921.1,17,Homo sapiens
AP_7003836.1,16,Homo sapiens
AP_9826290.1,24,Homo sapiens
AP_6343669.1,31,Homo sapiens
ZP_8415390.1,14,Homo sapiens
RP_7083896.1,31,Homo sapiens
AP_5509861.1,17,Homo sapiens
ZP_6411326.1,0,Homo sapiens
WP_8515398.1,12,Homo sapiens
WP_548345.1,18,Homo sapiens
WP_7927494.1,25,Homo sapiens
XP_1979490.1,13,Homo sapiens
AP_5084445.1,22,Homo sapiens
NP_7102587.1,10,Homo sapiens
AP_3419144.1,32,Homo sapiens
RP_5906466.1,6,Homo sapiens
AP_5404509.1,16,Homo sapiens
YP_5049499.1,13,Homo sapiens
YP_3793976.1,13,Homo sapiens
YP_4135493.1,13,Homo sapiens
AP_9914149.1,8,Homo sapiens
NP_1971403.1,25,Homo sapiens
AP_4948287.1,4,Homo sapiens
AP_921052.1,25,Homo sapiens
RP_2325300.1,43,Homo sapiens
XP_3438442.1,10,Homo sapiens
ZP_523570.1,6,Homo sapiens
ZP_5321816.1,30,Homo sapiens
NP_9346766.1,40,Homo sapiens
YP_8541136.1,14,Homo sapiens
XP_6650670.1,8,Homo sapiens
RP_7025877.1,21,Homo sapiens
XP_6067106.1,16,Homo sapiens
RP_5218922.1,26,Homo sapiens
ZP_7277545.1,17,Homo sapiens
XP_5628983.1,15,Homo sapiens
ZP_260775.1,26,Homo sapiens
NP_2767867.1,22,Homo sapiens
ZP_6755623.1,26,Homo sapiens
NP_7078737.1,13,Homo sapiens
ZP_4266500.1,11,Homo sapiens
YP_9279875.1,14,Homo sapiens
WP_4678238.1,7,Homo sapiens
YP_4110912.1,7,Homo sapiens
AP_5662067.1,6,Homo sapiens
AP_4985211.1,17,Homo sapiens
AP_1700396.1,15,Homo sapiens
XP_8611010.1,21,Homo sapiens
AP_2596081.1,28,Homo sapiens
WP_675278.1,22,Homo sapiens
YP_1278049.1,24,Homo sapiens
NP_7236029.1,4,Homo sapiens
NP_3564442.1,11,Homo sapiens
AP_3414692.1,12,Homo sapiens
RP_4819607.1,34,Homo sapiens
YP_1210389.1,7,Homo sapiens
YP_4012942.1,19,Homo sapiens
YP_7568810.1,27,Homo sapiens
AP_8623838.1,14,Homo sapiens
YP_5101045.1,5,Homo sapiens
WP_9871802.1,13,Homo sapiens
YP_4445760.1,22,Homo sapiens
NP_7253768.1,15,Homo sapiens
WP_4565150.1,8,Homo sapiens
YP_8489012.1,13,Homo sapiens
RP_6289573.1,30,Homo sapiens
ZP_1822320.1,7,Homo sapiens
AP_2432517.1,7,Homo sapiens
WP_3296340.1,24,Homo sapiens
RP_8651881.1,15,Homo sapiens
WP_5487408.1,16,Homo sapiens
AP_5792493.1,13,Homo sapiens
YP_1187341.1,19,Homo sapiens
YP_4077266.1,21,Homo sapiens
AP_3131756.1,17,Homo sapiens
ZP_9034845.1,16,Homo sapiens
YP_4140479.1,17,Homo sapiens
NP_1286887.1,49,Homo sapiens
RP_8996761.1,7,Homo sapiens
NP_2815514.1,15,Homo sapiens
NP_2758571.1,3,Homo sapiens
YP_4934357.1,18,Homo sapiens
ZP_7202173.1,12,Homo sapiens
WP_4992472.1,5,Homo sapiens
YP_5265679.1,18,Homo sapiens
RP_6280142.1,14,Homo sapiens
RP_5387118.1,28,Homo sapiens
AP_4200673.1,22,Homo sapiens
WP_8804434.1,13,Homo sapiens
RP_427359.1,20,Homo sapiens
ZP_417537.1,9,Homo sapiens
NP_7053757.1,8,Homo sapiens
RP_5075026.1,8,Homo sapiens
RP_2673619.1,18,Homo sapiens
YP_9852741.1,19,Homo sapiens
YP_1453038.1,28,Homo sapiens
ZP_4757693.1,17,Homo sapiens
RP_807689.1,19,Homo sapiens
WP_1396516.1,22,Homo sapiens
AP_3563351.1,36,Homo sapiens
YP_1954971.1,10,Homo sapiens
ZP_9138807.1,14,Homo sapiens
AP_1949396.1,5,Homo sapiens
NP_2791276.1,10,Homo sapiens
XP_2626954.1,9,Homo sapiens
WP_8107407.1,31,Homo sapiens
WP_7163410.1,10,Homo sapiens
RP_8101482.1,8,Homo sapiens
XP_1172647.1,15,Homo sapiens
ZP_9517063.1,10,Homo sapiens
ZP_8334679.1,14,Homo sapiens
YP_9794402.1,20,Homo sapiens
WP_2050367.1,24,Homo sapiens
NP_1701596.1,20,Homo sapiens
NP_5223122.1,12,Homo sapiens
WP_6448564.1,6,Homo sapiens
AP_5823601.1,28,Homo sapiens
ZP_5379548.1,5,Homo sapiens
XP_8004069.1,5,Homo sapiens
YP_2345131.1,15,Homo sapiens
NP_4346049.1,30,Homo sapiens
YP_8580473.1,16,Homo sapiens
AP_5555770.1,10,Homo sapiens
YP_3006158.1,10,Homo sapiens
YP_1322869.1,20,Homo sapiens
RP_3225354.1,8,Homo sapiens
RP_9918159.1,11,Homo sapiens
AP_4882883.1,18,Homo sapiens
YP_9402640.1,14,Homo sapiens
WP_4082588.1,9,Homo sapiens
ZP_6260686.1,28,Homo sapiens
RP_9406167.1,31,Homo sapiens
XP_7579821.1,8,Homo sapiens
NP_9303739.1,20,Homo sapiens
RP_167661.1,34,Homo sapiens
NP_6014988.1,12,Homo sapiens
NP_6658221.1,23,Homo sapiens
WP_1407506.1,13,Homo sapiens
RP_3001614.1,19,Homo sapiens
RP_3808654.1,3,Homo sapiens
ZP_7415436.1,21,Homo sapiens
NP_9118873.1,7,Homo sapiens
XP_5972354.1,8,Homo sapiens
WP_1315502.1,5,Homo sapiens
YP_9910404.1,21,Homo sapiens
ZP_2419049.1,18,Homo sapiens
RP_7687768.1,2,Homo sapiens
YP_2292614.1,19,Homo sapiens
XP_870173.1,5,Homo sapiens
ZP_5742264.1,17,Homo sapiens
ZP_567010.1,29,Homo sapiens
YP_4321038.1,18,Homo sapiens
ZP_8476430.1,6,Homo sapiens
XP_3980993.1,17,Homo sapiens
RP_2668103.1,13,Homo sapiens
YP_8511883.1,23,Homo sapiens
WP_6582532.1,9,Homo sapiens
XP_5296467.1,16,Homo sapiens
NP_9061343.1,4,Homo sapiens
NP_9401434.1,11,Homo sapiens
WP_9292300.1,6,Homo sapiens
XP_1414532.1,23,Homo sapiens
YP_1044789.1,9,Homo sapiens
AP_2313573.1,21,Homo sapiens
XP_2355363.1,13,Homo sapiens
XP_8475741.1,21,Homo sapiens
XP_5156861.1,8,Homo sapiens
RP_4248887.1,7,Homo sapiens
RP_9157014.1,24,Homo sapiens
WP_4712338.1,10,Homo sapiens
RP_1133255.1,22,Homo sapiens
AP_8302787.1,25,Homo sapiens
RP_9029285.1,16,Homo sapiens
NP_7743603.1,13,Homo sapiens
ZP_9660067.1,7,Homo sapiens
RP_2959653.1,26,Homo sapiens
XP_487952.1,17,Homo sapiens
XP_1130117.1,4,Homo sapiens
WP_2457821.1,0,Homo sapiens
YP_9013742.1,6,Homo sapiens
WP_5684263.1,24,Homo sapiens
NP_8486180.1,8,Homo sapiens
XP_164323.1,9,Homo sapiens
WP_1337715.1,28,Homo sapiens
YP_8140979.1,7,Homo sapiens
YP_6781134.1,10,Homo sapiens
YP_5447417.1,10,Homo sapiens
XP_5909701.1,6,Homo sapiens
AP_9539101.1,4,Homo sapiens
WP_2983427.1,18,Homo sapiens
AP_5852810.1,12,Homo sapiens
WP_4576576.1,6,Homo sapiens
XP_2963793.1,10,Homo sapiens
NP_7522212.1,14,Homo sapiens
RP_8891689.1,3,Homo sapiens
ZP_8867500.1,17,Homo sapiens
NP_8391923.1,12,Homo sapiens
YP_9145310.1,19,Homo sapiens
AP_8212074.1,1,Homo sapiens
RP_2819269.1,7,Homo sapiens
RP_5772354.1,22,Homo sapiens
XP_5384958.1,4,Homo sapiens
YP_886667.1,15,Homo sapiens
NP_1812503.1,11,Homo sapiens
WP_3709736.1,15,Homo sapiens
NP_6738155.1,5,Homo sapiens
WP_486594.1,7,Homo sapiens
YP_1192501.1,16,Homo sapiens
ZP_8625631.1,13,Homo sapiens
AP_9972232.1,17,Homo sapiens
AP_4025282.1,8,Homo sapiens
AP_9010852.1,31,Homo sapiens
WP_4973594.1,12,Homo sapiens
XP_7041245.1,10,Homo sapiens
ZP_9551244.1,25,Homo sapiens
NP_7917304.1,28,Homo sapiens
NP_929735.1,15,Homo sapiens
RP_8451245.1,21,Homo sapiens
WP_2662469.1,15,Homo sapiens
YP_6609590.1,12,Homo sapiens
RP_7590200.1,14,Homo sapiens
YP_4983680.1,5,Homo sapiens
RP_4733078.1,11,Homo sapiens
NP_2608749.1,6,Homo sapiens
AP_1053959.1,10,Homo sapiens
WP_8005477.1,27,Homo sapiens
XP_3469538.1,5,Homo sapiens
RP_445266.1,13,Homo sapiens
NP_4637358.1,12,Homo sapiens
RP_9596563.1,21,Homo sapiens
XP_6967100.1,16,Homo sapiens
XP_5375034.1,12,Homo sapiens
RP_9903005.1,13,Homo sapiens
ZP_3277993.1,1,Homo sapiens
AP_7683354.1,7,Homo sapiens
NP_9712128.1,11,Homo sapiens
XP_4157893.1,7,Homo sapiens
AP_5497662.1,10,Homo sapiens
RP_9928366.1,5,Homo sapiens
AP_3527975.1,3,Homo sapiens
AP_8614716.1,23,Homo sapiens
RP_5625633.1,7,Homo sapiens
WP_2344702.1,6,Homo sapiens
WP_5835193.1,28,Homo sapiens
WP_5997498.1,11,Homo sapiens
AP_8304298.1,14,Homo sapiens
XP_9551337.1,9,Homo sapiens
XP_3486501.1,6,Homo sapiens
RP_4688334.1,3,Homo sapiens
NP_8564685.1,9,Homo sapiens
WP_4427819.1,5,Homo sapiens
NP_1355564.1,21,Homo sapiens
XP_9030264.1,18,Homo sapiens
YP_4524507.1,24,Homo sapiens
WP_2892427.1,20,Homo sapiens
ZP_3457679.1,24,Homo sapiens
ZP_4490020.1,8,Homo sapiens
AP_990695.1,11,Homo sapiens
RP_938761.1,9,Homo sapiens
YP_8988923.1,21,Homo sapiens
RP_5452825.1,12,Homo sapiens
YP_9788053.1,10,Homo sapiens
WP_8987324.1,21,Homo sapiens
XP_3421127.1,10,Homo sapiens
YP_2376106.1,6,Homo sapiens
RP_7474592.1,14,Homo sapiens
XP_6675716.1,15,Homo sapiens
AP_6362105.1,8,Homo sapiens
XP_6771318.1,6,Homo sapiens
YP_594592.1,5,Homo sapiens
RP_3678226.1,5,Homo sapiens
RP_2527540.1,10,Homo sapiens
RP_418408.1,20,Homo sapiens
AP_9000019.1,8,Homo sapiens
YP_3217172.1,10,Homo sapiens
NP_6404680.1,6,Homo sapiens
WP_1998739.1,8,Homo sapiens
YP_1117433.1,1,Homo sapiens
WP_4761029.1,25,Homo sapiens
NP_3778086.1,2,Homo sapiens
NP_1681530.1,5,Homo sapiens
NP_2187258.1,15,Homo sapiens
YP_4956447.1,15,Homo sapiens
WP_6957658.1,16,Homo sapiens
ZP_1096530.1,2,Homo sapiens
XP_2701623.1,10,Homo sapiens
YP_9866854.1,16,Homo sapiens
ZP_4208997.1,12,Homo sapiens
AP_3464695.1,10,Homo sapiens
YP_1145482.1,13,Homo sapiens
XP_5886265.1,8,Homo sapiens
ZP_7587345.1,28,Homo sapiens
AP_9783910.1,26,Homo sapiens
YP_670451.1,9,Homo sapiens
YP_1067344.1,14,Homo sapiens
ZP_2512149.1,21,Homo sapiens
XP_3452252.1,11,Homo sapiens
YP_7122336.1,7,Homo sapiens
AP_4427858.1,9,Homo sapiens
WP_7533533.1,3,Homo sapiens
XP_6084684.1,12,Homo sapiens
AP_2794287.1,6,Homo sapiens
WP_4721056.1,4,Homo sapiens
XP_803662.1,20,Homo sapiens
NP_4192097.1,5,Homo sapiens
XP_2759440.1,9,Homo sapiens
NP_4043645.1,7,Homo sapiens
XP_6194467.1,6,Homo sapiens
YP_5617366.1,14,Homo sapiens
RP_9615807.1,11,Homo sapiens
NP_5311593.1,4,Homo sapiens
WP_8470262.1,2,Homo sapiens
RP_4946769.1,0,Homo sapiens
RP_7549607.1,12,Homo sapiens
YP_4143064.1,17,Homo sapiens
RP_2702967.1,4,Homo sapiens
RP_176218.1,13,Homo sapiens
RP_870044.1,21,Homo sapiens
XP_3285714.1,9,Homo sapiens
YP_8836347.1,20,Homo sapiens
RP_8960935.1,6,Homo sapiens
NP_2794946.1,8,Homo sapiens
XP_7121855.1,3,Homo sapiens
XP_9097354.1,8,Homo sapiens
ZP_599876.1,15,Homo sapiens
XP_8085620.1,2,Homo sapiens
XP_868734.1,23,Homo sapiens
RP_7850575.1,6,Homo sapiens
NP_5611174.1,6,Homo sapiens
NP_6669632.1,11,Homo sapiens
RP_2126580.1,4,Homo sapiens
WP_7329039.1,14,Homo sapiens
AP_6302258.1,11,Homo sapiens
ZP_9980860.1,10,Homo sapiens
ZP_3626737.1,8,Homo sapiens
NP_2108960.1,14,Homo sapiens
RP_8576563.1,29,Homo sapiens
WP_7018889.1,31,Homo sapiens
RP_3476513.1,10,Homo sapiens
WP_2037878.1,14,Homo sapiens
RP_6293956.1,17,Homo sapiens
XP_1805215.1,10,Homo sapiens
XP_7371476.1,13,Homo sapiens
ZP_3366402.1,9,Homo sapiens
ZP_8221849.1,17,Homo sapiens
XP_4208880.1,4,Homo sapiens
NP_4361946.1,3,Homo sapiens
XP_1832465.1,15,Homo sapiens
WP_3273584.1,9,Homo sapiens
XP_2959244.1,12,Homo sapiens
YP_422918.1,14,Homo sapiens
YP_2345909.1,16,Homo sapiens
WP_216739.1,13,Homo sapiens
NP_9775193.1,15,Homo sapiens
AP_9855461.1,3,Homo sapiens
NP_2520564.1,19,Homo sapiens
NP_9968643.1,23,Homo sapiens
YP_2753093.1,14,Homo sapiens
NP_5988997.1,2,Homo sapiens
NP_6338795.1,7,Homo sapiens
RP_4867348.1,14,Homo sapiens
NP_816756.1,11,Homo sapiens
WP_6890968.1,12,Homo sapiens
RP_7469434.1,9,Homo sapiens
NP_1326476.1,5,Homo sapiens
YP_9060820.1,8,Homo sapiens
RP_1600844.1,15,Homo sapiens
YP_3543609.1,33,Homo sapiens
AP_1500283.1,19,Homo sapiens
XP_791757.1,9,Homo sapiens
NP_9638555.1,11,Homo sapiens
XP_3437920.1,19,Homo sapiens
WP_2218324.1,9,Homo sapiens
ZP_6347794.1,9,Homo sapiens
NP_8017596.1,4,Homo sapiens
AP_5002666.1,26,Homo sapiens
WP_976031.1,14,Homo sapiens
ZP_1370896.1,8,Homo sapiens
WP_1159622.1,5,Homo sapiens
WP_478165.1,5,Homo sapiens
NP_9197270.1,15,Homo sapiens
RP_4231479.1,5,Homo sapiens
XP_9500725.1,6,Homo sapiens
AP_515008.1,8,Homo sapiens
NP_3451278.1,13,Homo sapiens
ZP_8078450.1,21,Homo sapiens
WP_7340947.1,1,Homo sapiens
WP_1270365.1,11,Homo sapiens
WP_9603201.1,20,Homo sapiens
YP_6031161.1,3,Homo sapiens
NP_4951188.1,25,Homo sapiens
YP_4047208.1,13,Homo sapiens
YP_7833308.1,4,Homo sapiens
WP_2804999.1,13,Homo sapiens
NP_1424070.1,11,Homo sapiens
WP_5887749.1,6,Homo sapiens
NP_6676651.1,24,Homo sapiens
WP_9104644.1,30,Homo sapiens
ZP_5087696.1,15,Homo sapiens
AP_4184752.1,17,Homo sapiens
NP_3077590.1,15,Homo sapiens
YP_6710734.1,9,Homo sapiens
ZP_4994287.1,4,Homo sapiens
WP_7642535.1,13,Homo sapiens
RP_8147252.1,14,Homo sapiens
YP_6315140.1,6,Homo sapiens
XP_2302575.1,7,Homo sapiens
XP_564071.1,6,Homo sapiens
YP_4481137.1,3,Homo sapiens
YP_9264043.1,12,Homo sapiens
RP_7697626.1,6,Homo sapiens
NP_3598472.1,12,Homo sapiens
AP_8469689.1,6,Homo sapiens
RP_5239743.1,21,Homo sapiens
NP_3913270.1,13,Homo sapiens
NP_6709876.1,10,Homo sapiens
XP_6223769.1,9,Homo sapiens
RP_9152788.1,7,Homo sapiens
RP_2135848.1,6,Homo sapiens
WP_8693223.1,18,Homo sapiens
NP_6791409.1,7,Homo sapiens
RP_938003.1,12,Homo sapiens
RP_8770178.1,8,Homo sapiens
NP_3495049.1,7,Homo sapiens
RP_8051632.1,16,Homo sapiens
XP_6181687.1,8,Homo sapiens
WP_9048331.1,5,Homo sapiens
ZP_2647500.1,16,Homo sapiens
NP_9488162.1,32,Homo sapiens
AP_234055.1,10,Homo sapiens
NP_9164630.1,5,Homo sapiens
RP_9184966.1,10,Homo sapiens
RP_1941648.1,5,Homo sapiens
ZP_7232508.1,6,Homo sapiens
XP_3928433.1,14,Homo sapiens
